city,period,month,tas_C,std_C
Toronto,y2080_ssp126,1,-3.558,3.293
Toronto,y2080_ssp126,2,-3.426,3.414
Toronto,y2080_ssp126,3,1.275,2.709
Toronto,y2080_ssp126,4,8.467,2.691
Toronto,y2080_ssp126,5,15.169,2.207
Toronto,y2080_ssp126,6,20.591,1.945
Toronto,y2080_ssp126,7,24.098,2.159
Toronto,y2080_ssp126,8,23.923,2.573
Toronto,y2080_ssp126,9,19.389,2.522
Toronto,y2080_ssp126,10,12.648,2.33
Toronto,y2080_ssp126,11,5.662,2.253
Toronto,y2080_ssp126,12,-0.212,2.656
Anchorage,y2080_ssp245,1,-6.619,4.425
Anchorage,y2080_ssp245,2,-5.955,4.602
Anchorage,y2080_ssp245,3,-3.674,3.571
Anchorage,y2080_ssp245,4,0.304,2.294
Anchorage,y2080_ssp245,5,5.456,2.043
Anchorage,y2080_ssp245,6,11.355,2.147
Anchorage,y2080_ssp245,7,14.439,2.489
Anchorage,y2080_ssp245,8,13.629,2.556
Anchorage,y2080_ssp245,9,9.27,2.622
Anchorage,y2080_ssp245,10,3.585,2.701
Anchorage,y2080_ssp245,11,-1.919,3.398
Anchorage,y2080_ssp245,12,-5.034,4.118
Bangkok,y2080_ssp245,1,24.98,2.139
Bangkok,y2080_ssp245,2,27.108,1.948
Bangkok,y2080_ssp245,3,30.246,1.474
Bangkok,y2080_ssp245,4,32.125,1.607
Bangkok,y2080_ssp245,5,31.794,2.217
Bangkok,y2080_ssp245,6,30.074,2.041
Bangkok,y2080_ssp245,7,28.879,1.549
Bangkok,y2080_ssp245,8,28.625,1.423
Bangkok,y2080_ssp245,9,28.378,1.458
Bangkok,y2080_ssp245,10,27.875,2.006
Bangkok,y2080_ssp245,11,26.899,2.13
Bangkok,y2080_ssp245,12,25.355,2.173
Beijing,y2080_ssp245,1,-4.983,2.849
Beijing,y2080_ssp245,2,-2.395,3.503
Beijing,y2080_ssp245,3,4.253,3.151
Beijing,y2080_ssp245,4,11.641,2.454
Beijing,y2080_ssp245,5,18.668,1.861
Beijing,y2080_ssp245,6,24.609,1.657
Beijing,y2080_ssp245,7,27.648,1.841
Beijing,y2080_ssp245,8,26.816,2.069
Beijing,y2080_ssp245,9,21.246,2.141
Beijing,y2080_ssp245,10,13.048,2.211
Beijing,y2080_ssp245,11,4.352,2.278
Beijing,y2080_ssp245,12,-2.411,2.634
Berlin,y2080_ssp245,1,2.854,2.293
Berlin,y2080_ssp245,2,3.139,2.515
Berlin,y2080_ssp245,3,5.469,2.223
Berlin,y2080_ssp245,4,9.33,1.765
Berlin,y2080_ssp245,5,13.989,1.711
Berlin,y2080_ssp245,6,19.22,1.933
Berlin,y2080_ssp245,7,21.605,2.1
Berlin,y2080_ssp245,8,21.052,2.194
Berlin,y2080_ssp245,9,17.297,1.967
Berlin,y2080_ssp245,10,12.368,1.843
Berlin,y2080_ssp245,11,7.458,2.054
Berlin,y2080_ssp245,12,4.437,2.008
Bogota,y2080_ssp245,1,24.694,2.919
Bogota,y2080_ssp245,2,25.482,2.938
Bogota,y2080_ssp245,3,25.764,2.722
Bogota,y2080_ssp245,4,24.92,2.249
Bogota,y2080_ssp245,5,23.936,2.043
Bogota,y2080_ssp245,6,23.309,1.978
Bogota,y2080_ssp245,7,23.162,1.995
Bogota,y2080_ssp245,8,23.633,2.142
Bogota,y2080_ssp245,9,24.319,2.365
Bogota,y2080_ssp245,10,24.539,2.862
Bogota,y2080_ssp245,11,24.268,3.109
Bogota,y2080_ssp245,12,24.208,2.922
Buenos Aires,y2080_ssp245,1,27.217,1.694
Buenos Aires,y2080_ssp245,2,27.064,2.013
Buenos Aires,y2080_ssp245,3,24.402,1.884
Buenos Aires,y2080_ssp245,4,19.938,1.933
Buenos Aires,y2080_ssp245,5,15.241,1.512
Buenos Aires,y2080_ssp245,6,12.262,1.586
Buenos Aires,y2080_ssp245,7,11.559,1.638
Buenos Aires,y2080_ssp245,8,13.184,1.816
Buenos Aires,y2080_ssp245,9,15.794,1.679
Buenos Aires,y2080_ssp245,10,18.705,1.407
Buenos Aires,y2080_ssp245,11,21.978,1.357
Buenos Aires,y2080_ssp245,12,25.116,1.573
Cairo,y2080_ssp245,1,14.865,1.104
Cairo,y2080_ssp245,2,15.808,1.276
Cairo,y2080_ssp245,3,18.433,1.453
Cairo,y2080_ssp245,4,21.684,1.352
Cairo,y2080_ssp245,5,25.273,1.585
Cairo,y2080_ssp245,6,29.282,1.747
Cairo,y2080_ssp245,7,31.522,1.784
Cairo,y2080_ssp245,8,31.681,1.56
Cairo,y2080_ssp245,9,29.057,1.36
Cairo,y2080_ssp245,10,25.466,1.28
Cairo,y2080_ssp245,11,20.765,1.269
Cairo,y2080_ssp245,12,16.502,1.188
Cape Town,y2080_ssp245,1,22.866,1.07
Cape Town,y2080_ssp245,2,23.27,0.97
Cape Town,y2080_ssp245,3,22.594,0.871
Cape Town,y2080_ssp245,4,20.713,0.928
Cape Town,y2080_ssp245,5,18.345,1.163
Cape Town,y2080_ssp245,6,16.525,1.241
Cape Town,y2080_ssp245,7,15.669,1.211
Cape Town,y2080_ssp245,8,15.665,1.246
Cape Town,y2080_ssp245,9,16.571,1.276
Cape Town,y2080_ssp245,10,18.163,1.155
Cape Town,y2080_ssp245,11,20.003,1.046
Cape Town,y2080_ssp245,12,21.711,1.065
Chicago,y2080_ssp245,1,-2.194,2.917
Chicago,y2080_ssp245,2,-0.744,3.091
Chicago,y2080_ssp245,3,4.059,2.757
Chicago,y2080_ssp245,4,11.57,2.506
Chicago,y2080_ssp245,5,18.067,2.362
Chicago,y2080_ssp245,6,23.852,2.219
Chicago,y2080_ssp245,7,28.045,2.779
Chicago,y2080_ssp245,8,28.191,3.389
Chicago,y2080_ssp245,9,23.318,3.205
Chicago,y2080_ssp245,10,15.134,2.849
Chicago,y2080_ssp245,11,7.169,2.6
Chicago,y2080_ssp245,12,0.661,2.519
Delhi,y2080_ssp245,1,14.661,3.629
Delhi,y2080_ssp245,2,17.664,3.814
Delhi,y2080_ssp245,3,23.23,3.803
Delhi,y2080_ssp245,4,29.012,3.422
Delhi,y2080_ssp245,5,33.833,3.393
Delhi,y2080_ssp245,6,37.05,3.392
Delhi,y2080_ssp245,7,35.91,3.479
Delhi,y2080_ssp245,8,33.223,3.359
Delhi,y2080_ssp245,9,32.05,3.456
Delhi,y2080_ssp245,10,27.578,3.071
Delhi,y2080_ssp245,11,21.147,3.168
Delhi,y2080_ssp245,12,15.762,3.282
Dubai,y2080_ssp245,1,20.581,2.522
Dubai,y2080_ssp245,2,21.223,2.145
Dubai,y2080_ssp245,3,24.176,1.636
Dubai,y2080_ssp245,4,28.04,1.875
Dubai,y2080_ssp245,5,32.16,1.68
Dubai,y2080_ssp245,6,36.006,1.69
Dubai,y2080_ssp245,7,37.287,1.826
Dubai,y2080_ssp245,8,37.047,1.596
Dubai,y2080_ssp245,9,35.083,1.302
Dubai,y2080_ssp245,10,31.715,1.471
Dubai,y2080_ssp245,11,27.24,2.377
Dubai,y2080_ssp245,12,22.604,2.806
Helsinki,y2080_ssp245,1,-3.192,3.723
Helsinki,y2080_ssp245,2,-3.372,3.817
Helsinki,y2080_ssp245,3,-0.142,2.746
Helsinki,y2080_ssp245,4,5.269,2.297
Helsinki,y2080_ssp245,5,11.753,2.21
Helsinki,y2080_ssp245,6,17.177,2.026
Helsinki,y2080_ssp245,7,19.712,2.108
Helsinki,y2080_ssp245,8,18.491,2.25
Helsinki,y2080_ssp245,9,14.163,2.23
Helsinki,y2080_ssp245,10,8.814,2.283
Helsinki,y2080_ssp245,11,3.603,2.971
Helsinki,y2080_ssp245,12,-0.862,3.548
Honolulu,y2080_ssp245,1,24.238,0.865
Honolulu,y2080_ssp245,2,23.676,0.929
Honolulu,y2080_ssp245,3,23.582,0.966
Honolulu,y2080_ssp245,4,23.935,0.98
Honolulu,y2080_ssp245,5,24.843,0.869
Honolulu,y2080_ssp245,6,26.044,0.843
Honolulu,y2080_ssp245,7,26.877,0.802
Honolulu,y2080_ssp245,8,27.64,0.908
Honolulu,y2080_ssp245,9,28.039,1.074
Honolulu,y2080_ssp245,10,27.577,0.953
Honolulu,y2080_ssp245,11,26.346,0.839
Honolulu,y2080_ssp245,12,25.02,0.826
Lagos,y2080_ssp245,1,29.122,1.757
Lagos,y2080_ssp245,2,30.437,1.412
Lagos,y2080_ssp245,3,31.658,1.225
Lagos,y2080_ssp245,4,31.436,1.42
Lagos,y2080_ssp245,5,30.552,1.372
Lagos,y2080_ssp245,6,29.669,1.264
Lagos,y2080_ssp245,7,28.67,1.267
Lagos,y2080_ssp245,8,27.944,1.307
Lagos,y2080_ssp245,9,28.274,1.524
Lagos,y2080_ssp245,10,28.937,1.568
Lagos,y2080_ssp245,11,29.364,1.478
Lagos,y2080_ssp245,12,29.038,1.774
London,y2080_ssp245,1,7.299,1.636
London,y2080_ssp245,2,6.919,1.694
London,y2080_ssp245,3,7.748,1.582
London,y2080_ssp245,4,9.798,1.234
London,y2080_ssp245,5,12.747,1.154
London,y2080_ssp245,6,16.835,1.403
London,y2080_ssp245,7,19.59,1.646
London,y2080_ssp245,8,19.788,1.914
London,y2080_ssp245,9,17.647,1.767
London,y2080_ssp245,10,14.229,1.559
London,y2080_ssp245,11,10.806,1.582
London,y2080_ssp245,12,8.635,1.502
Los Angeles,y2080_ssp245,1,10.941,2.011
Los Angeles,y2080_ssp245,2,12.075,1.861
Los Angeles,y2080_ssp245,3,13.614,1.693
Los Angeles,y2080_ssp245,4,16.061,1.595
Los Angeles,y2080_ssp245,5,19.667,1.571
Los Angeles,y2080_ssp245,6,23.415,1.639
Los Angeles,y2080_ssp245,7,27.218,1.763
Los Angeles,y2080_ssp245,8,28.277,1.65
Los Angeles,y2080_ssp245,9,26.247,1.511
Los Angeles,y2080_ssp245,10,22.251,1.671
Los Angeles,y2080_ssp245,11,15.668,2.093
Los Angeles,y2080_ssp245,12,11.64,2.042
Madrid,y2080_ssp245,1,6.742,2.501
Madrid,y2080_ssp245,2,7.653,2.486
Madrid,y2080_ssp245,3,9.867,2.648
Madrid,y2080_ssp245,4,12.478,2.457
Madrid,y2080_ssp245,5,16.273,2.292
Madrid,y2080_ssp245,6,21.957,2.17
Madrid,y2080_ssp245,7,26.701,2.148
Madrid,y2080_ssp245,8,27.101,1.943
Madrid,y2080_ssp245,9,22.767,2.144
Madrid,y2080_ssp245,10,16.282,2.36
Madrid,y2080_ssp245,11,10.905,2.468
Madrid,y2080_ssp245,12,7.829,2.35
Mexico City,y2080_ssp245,1,17.37,3.046
Mexico City,y2080_ssp245,2,18.449,2.859
Mexico City,y2080_ssp245,3,20.708,2.659
Mexico City,y2080_ssp245,4,23.033,2.555
Mexico City,y2080_ssp245,5,23.859,2.615
Mexico City,y2080_ssp245,6,23.654,2.548
Mexico City,y2080_ssp245,7,23.223,2.3
Mexico City,y2080_ssp245,8,23.066,2.161
Mexico City,y2080_ssp245,9,22.573,2.397
Mexico City,y2080_ssp245,10,21.153,2.733
Mexico City,y2080_ssp245,11,19.554,2.896
Mexico City,y2080_ssp245,12,17.839,3.038
Montreal,y2080_ssp245,1,-5.994,2.885
Montreal,y2080_ssp245,2,-5.171,3.057
Montreal,y2080_ssp245,3,-0.599,2.816
Montreal,y2080_ssp245,4,7.178,2.474
Montreal,y2080_ssp245,5,13.817,2.161
Montreal,y2080_ssp245,6,19.583,1.926
Montreal,y2080_ssp245,7,23.421,2.279
Montreal,y2080_ssp245,8,22.872,2.852
Montreal,y2080_ssp245,9,18.345,2.708
Montreal,y2080_ssp245,10,11.019,2.442
Montreal,y2080_ssp245,11,3.816,2.308
Montreal,y2080_ssp245,12,-2.477,2.492
Moscow,y2080_ssp245,1,-5.696,4.074
Moscow,y2080_ssp245,2,-4.766,4.095
Moscow,y2080_ssp245,3,0.103,2.898
Moscow,y2080_ssp245,4,7.34,2.762
Moscow,y2080_ssp245,5,14.625,2.478
Moscow,y2080_ssp245,6,19.639,2.542
Moscow,y2080_ssp245,7,21.794,2.473
Moscow,y2080_ssp245,8,20.624,2.763
Moscow,y2080_ssp245,9,15.076,2.37
Moscow,y2080_ssp245,10,8.214,2.475
Moscow,y2080_ssp245,11,2.029,3.021
Moscow,y2080_ssp245,12,-2.963,3.368
Mumbai,y2080_ssp245,1,25.521,2.614
Mumbai,y2080_ssp245,2,26.595,1.88
Mumbai,y2080_ssp245,3,28.687,1.386
Mumbai,y2080_ssp245,4,30.896,1.399
Mumbai,y2080_ssp245,5,31.712,1.429
Mumbai,y2080_ssp245,6,31.076,1.37
Mumbai,y2080_ssp245,7,29.318,2.039
Mumbai,y2080_ssp245,8,28.321,1.82
Mumbai,y2080_ssp245,9,28.671,1.651
Mumbai,y2080_ssp245,10,29.673,1.691
Mumbai,y2080_ssp245,11,28.696,2.456
Mumbai,y2080_ssp245,12,26.442,2.986
Nairobi,y2080_ssp245,1,24.784,1.913
Nairobi,y2080_ssp245,2,25.822,1.983
Nairobi,y2080_ssp245,3,26.352,1.866
Nairobi,y2080_ssp245,4,25.689,1.757
Nairobi,y2080_ssp245,5,24.568,1.726
Nairobi,y2080_ssp245,6,23.664,1.621
Nairobi,y2080_ssp245,7,23.116,1.635
Nairobi,y2080_ssp245,8,23.639,1.603
Nairobi,y2080_ssp245,9,24.538,1.663
Nairobi,y2080_ssp245,10,24.928,1.576
Nairobi,y2080_ssp245,11,23.898,1.622
Nairobi,y2080_ssp245,12,23.869,1.765
New York,y2080_ssp245,1,3.528,3.101
New York,y2080_ssp245,2,3.98,3.163
New York,y2080_ssp245,3,7.124,2.995
New York,y2080_ssp245,4,12.523,2.404
New York,y2080_ssp245,5,17.636,2.064
New York,y2080_ssp245,6,22.587,1.772
New York,y2080_ssp245,7,26.342,1.911
New York,y2080_ssp245,8,26.673,2.225
New York,y2080_ssp245,9,23.444,2.356
New York,y2080_ssp245,10,17.657,2.378
New York,y2080_ssp245,11,11.354,2.763
New York,y2080_ssp245,12,6.09,3.112
Oslo,y2080_ssp245,1,-3.094,3.253
Oslo,y2080_ssp245,2,-2.823,3.123
Oslo,y2080_ssp245,3,-0.287,2.337
Oslo,y2080_ssp245,4,4.207,1.581
Oslo,y2080_ssp245,5,9.939,1.56
Oslo,y2080_ssp245,6,15.105,1.839
Oslo,y2080_ssp245,7,16.974,1.987
Oslo,y2080_ssp245,8,15.757,2.143
Oslo,y2080_ssp245,9,12.02,2.064
Oslo,y2080_ssp245,10,7.23,2.083
Oslo,y2080_ssp245,11,2.42,2.703
Oslo,y2080_ssp245,12,-1.487,3.051
Paris,y2080_ssp245,1,6.349,1.794
Paris,y2080_ssp245,2,6.484,2.078
Paris,y2080_ssp245,3,8.148,2.011
Paris,y2080_ssp245,4,10.871,1.729
Paris,y2080_ssp245,5,14.307,1.64
Paris,y2080_ssp245,6,19.37,1.981
Paris,y2080_ssp245,7,22.451,2.132
Paris,y2080_ssp245,8,22.445,2.423
Paris,y2080_ssp245,9,19.224,2.094
Paris,y2080_ssp245,10,14.52,1.744
Paris,y2080_ssp245,11,10.278,1.642
Paris,y2080_ssp245,12,7.754,1.556
Phoenix,y2080_ssp245,1,9.31,2.623
Phoenix,y2080_ssp245,2,11.424,2.552
Phoenix,y2080_ssp245,3,14.028,2.577
Phoenix,y2080_ssp245,4,18.11,2.564
Phoenix,y2080_ssp245,5,23.441,2.449
Phoenix,y2080_ssp245,6,28.793,2.174
Phoenix,y2080_ssp245,7,33.261,2.066
Phoenix,y2080_ssp245,8,33.176,2.093
Phoenix,y2080_ssp245,9,29.563,2.239
Phoenix,y2080_ssp245,10,23.578,2.439
Phoenix,y2080_ssp245,11,15.062,2.584
Phoenix,y2080_ssp245,12,9.972,2.606
Reykjavik,y2080_ssp245,1,1.505,2.419
Reykjavik,y2080_ssp245,2,0.895,2.767
Reykjavik,y2080_ssp245,3,1.583,2.625
Reykjavik,y2080_ssp245,4,3.407,2.195
Reykjavik,y2080_ssp245,5,6.209,1.716
Reykjavik,y2080_ssp245,6,9.556,1.379
Reykjavik,y2080_ssp245,7,11.665,1.467
Reykjavik,y2080_ssp245,8,11.604,1.666
Reykjavik,y2080_ssp245,9,9.396,1.848
Reykjavik,y2080_ssp245,10,6.548,1.922
Reykjavik,y2080_ssp245,11,3.867,2.131
Reykjavik,y2080_ssp245,12,2.113,2.337
Rome,y2080_ssp245,1,10.597,1.744
Rome,y2080_ssp245,2,10.788,1.765
Rome,y2080_ssp245,3,12.296,1.602
Rome,y2080_ssp245,4,14.814,1.459
Rome,y2080_ssp245,5,18.834,1.687
Rome,y2080_ssp245,6,24.455,1.937
Rome,y2080_ssp245,7,28.548,1.956
Rome,y2080_ssp245,8,28.711,1.624
Rome,y2080_ssp245,9,24.907,1.813
Rome,y2080_ssp245,10,19.744,1.633
Rome,y2080_ssp245,11,15.231,1.825
Rome,y2080_ssp245,12,12.397,1.717
San Diego,y2080_ssp245,1,13.673,2.147
San Diego,y2080_ssp245,2,14.69,1.768
San Diego,y2080_ssp245,3,16.098,1.494
San Diego,y2080_ssp245,4,18.15,1.367
San Diego,y2080_ssp245,5,21.097,1.645
San Diego,y2080_ssp245,6,24.121,1.872
San Diego,y2080_ssp245,7,27.522,2.089
San Diego,y2080_ssp245,8,28.775,1.767
San Diego,y2080_ssp245,9,27.528,1.806
San Diego,y2080_ssp245,10,24.392,1.575
San Diego,y2080_ssp245,11,18.548,1.912
San Diego,y2080_ssp245,12,14.535,2.122
Sao Paulo,y2080_ssp245,1,25.593,1.735
Sao Paulo,y2080_ssp245,2,25.829,1.527
Sao Paulo,y2080_ssp245,3,25.024,1.587
Sao Paulo,y2080_ssp245,4,23.683,1.718
Sao Paulo,y2080_ssp245,5,21.569,1.756
Sao Paulo,y2080_ssp245,6,19.632,1.845
Sao Paulo,y2080_ssp245,7,19.08,1.772
Sao Paulo,y2080_ssp245,8,20.271,1.81
Sao Paulo,y2080_ssp245,9,22.389,2.16
Sao Paulo,y2080_ssp245,10,23.699,2.38
Sao Paulo,y2080_ssp245,11,24.354,2.13
Sao Paulo,y2080_ssp245,12,24.925,1.957
Seoul,y2080_ssp245,1,1.148,2.537
Seoul,y2080_ssp245,2,2.095,2.502
Seoul,y2080_ssp245,3,6.187,2.29
Seoul,y2080_ssp245,4,11.251,2.042
Seoul,y2080_ssp245,5,16.436,1.905
Seoul,y2080_ssp245,6,21.765,2.188
Seoul,y2080_ssp245,7,25.711,2.397
Seoul,y2080_ssp245,8,26.946,2.507
Seoul,y2080_ssp245,9,23.364,2.464
Seoul,y2080_ssp245,10,16.999,1.96
Seoul,y2080_ssp245,11,10.324,2.006
Seoul,y2080_ssp245,12,4.244,2.269
Singapore,y2080_ssp245,1,28.277,1.354
Singapore,y2080_ssp245,2,28.36,1.322
Singapore,y2080_ssp245,3,29.027,1.41
Singapore,y2080_ssp245,4,29.911,1.49
Singapore,y2080_ssp245,5,30.356,1.537
Singapore,y2080_ssp245,6,30.238,1.498
Singapore,y2080_ssp245,7,29.876,1.464
Singapore,y2080_ssp245,8,29.686,1.46
Singapore,y2080_ssp245,9,29.601,1.457
Singapore,y2080_ssp245,10,29.463,1.538
Singapore,y2080_ssp245,11,29.255,1.483
Singapore,y2080_ssp245,12,28.727,1.368
Stockholm,y2080_ssp245,1,0.587,2.156
Stockholm,y2080_ssp245,2,0.151,2.493
Stockholm,y2080_ssp245,3,1.866,2.12
Stockholm,y2080_ssp245,4,5.488,1.692
Stockholm,y2080_ssp245,5,10.421,1.684
Stockholm,y2080_ssp245,6,15.762,1.835
Stockholm,y2080_ssp245,7,18.827,1.825
Stockholm,y2080_ssp245,8,18.325,1.858
Stockholm,y2080_ssp245,9,14.898,1.736
Stockholm,y2080_ssp245,10,10.292,1.617
Stockholm,y2080_ssp245,11,5.865,1.909
Stockholm,y2080_ssp245,12,2.451,1.995
Sydney,y2080_ssp245,1,24.824,1.142
Sydney,y2080_ssp245,2,24.66,1.319
Sydney,y2080_ssp245,3,23.089,1.243
Sydney,y2080_ssp245,4,20.493,1.528
Sydney,y2080_ssp245,5,17.231,1.727
Sydney,y2080_ssp245,6,14.386,1.836
Sydney,y2080_ssp245,7,13.276,1.813
Sydney,y2080_ssp245,8,13.956,1.681
Sydney,y2080_ssp245,9,16.375,1.573
Sydney,y2080_ssp245,10,19.02,1.458
Sydney,y2080_ssp245,11,21.096,1.261
Sydney,y2080_ssp245,12,23.314,1.2
Tokyo,y2080_ssp245,1,9.361,3.309
Tokyo,y2080_ssp245,2,9.073,3.316
Tokyo,y2080_ssp245,3,11.08,3.002
Tokyo,y2080_ssp245,4,14.771,2.325
Tokyo,y2080_ssp245,5,18.68,2.016
Tokyo,y2080_ssp245,6,22.815,1.856
Tokyo,y2080_ssp245,7,26.315,1.633
Tokyo,y2080_ssp245,8,27.633,1.556
Tokyo,y2080_ssp245,9,25.661,2.206
Tokyo,y2080_ssp245,10,21.021,2.473
Tokyo,y2080_ssp245,11,16.286,2.726
Tokyo,y2080_ssp245,12,12.016,3.078
Toronto,y2080_ssp245,1,-2.781,3.007
Toronto,y2080_ssp245,2,-2.234,3.314
Toronto,y2080_ssp245,3,2.086,2.95
Toronto,y2080_ssp245,4,9.539,2.534
Toronto,y2080_ssp245,5,16.013,2.343
Toronto,y2080_ssp245,6,21.806,2.234
Toronto,y2080_ssp245,7,25.772,2.725
Toronto,y2080_ssp245,8,25.656,3.19
Toronto,y2080_ssp245,9,21.283,2.996
Toronto,y2080_ssp245,10,13.831,2.659
Toronto,y2080_ssp245,11,6.667,2.48
Toronto,y2080_ssp245,12,0.595,2.504
Anchorage,y2080_ssp585,1,-3.42,4.484
Anchorage,y2080_ssp585,2,-2.962,4.163
Anchorage,y2080_ssp585,3,-0.901,3.611
Anchorage,y2080_ssp585,4,2.841,2.873
Anchorage,y2080_ssp585,5,8.582,2.755
Anchorage,y2080_ssp585,6,14.491,2.984
Anchorage,y2080_ssp585,7,17.299,3.082
Anchorage,y2080_ssp585,8,16.444,3.279
Anchorage,y2080_ssp585,9,12.039,3.08
Anchorage,y2080_ssp585,10,5.713,3.013
Anchorage,y2080_ssp585,11,0.343,3.612
Anchorage,y2080_ssp585,12,-2.657,4.356
Bangkok,y2080_ssp585,1,27.101,2.541
Bangkok,y2080_ssp585,2,29.355,2.226
Bangkok,y2080_ssp585,3,32.335,1.89
Bangkok,y2080_ssp585,4,34.025,2.147
Bangkok,y2080_ssp585,5,33.818,2.678
Bangkok,y2080_ssp585,6,31.934,2.414
Bangkok,y2080_ssp585,7,30.718,1.901
Bangkok,y2080_ssp585,8,30.361,1.773
Bangkok,y2080_ssp585,9,30.013,1.91
Bangkok,y2080_ssp585,10,29.728,2.3
Bangkok,y2080_ssp585,11,28.766,2.531
Bangkok,y2080_ssp585,12,27.284,2.597
Beijing,y2080_ssp585,1,-2.029,2.509
Beijing,y2080_ssp585,2,0.497,2.673
Beijing,y2080_ssp585,3,6.93,2.333
Beijing,y2080_ssp585,4,14.194,2.43
Beijing,y2080_ssp585,5,21.338,2.056
Beijing,y2080_ssp585,6,27.185,1.943
Beijing,y2080_ssp585,7,30.105,2.162
Beijing,y2080_ssp585,8,29.574,2.4
Beijing,y2080_ssp585,9,24.339,2.479
Beijing,y2080_ssp585,10,16.057,2.308
Beijing,y2080_ssp585,11,7.049,2.252
Beijing,y2080_ssp585,12,0.316,2.25
Berlin,y2080_ssp585,1,4.941,2.438
Berlin,y2080_ssp585,2,5.436,2.405
Berlin,y2080_ssp585,3,7.51,2.136
Berlin,y2080_ssp585,4,11.496,2.422
Berlin,y2080_ssp585,5,16.582,2.287
Berlin,y2080_ssp585,6,22.019,2.527
Berlin,y2080_ssp585,7,25.007,2.98
Berlin,y2080_ssp585,8,24.39,2.824
Berlin,y2080_ssp585,9,20.305,2.503
Berlin,y2080_ssp585,10,14.882,2.248
Berlin,y2080_ssp585,11,9.634,2.182
Berlin,y2080_ssp585,12,6.228,2.359
Bogota,y2080_ssp585,1,26.885,3.316
Bogota,y2080_ssp585,2,27.572,3.335
Bogota,y2080_ssp585,3,27.702,3.117
Bogota,y2080_ssp585,4,26.712,2.723
Bogota,y2080_ssp585,5,25.717,2.453
Bogota,y2080_ssp585,6,25.179,2.343
Bogota,y2080_ssp585,7,25.094,2.418
Bogota,y2080_ssp585,8,25.741,2.61
Bogota,y2080_ssp585,9,26.503,2.953
Bogota,y2080_ssp585,10,26.68,3.579
Bogota,y2080_ssp585,11,26.21,3.767
Bogota,y2080_ssp585,12,26.274,3.552
Buenos Aires,y2080_ssp585,1,29.663,2.089
Buenos Aires,y2080_ssp585,2,29.282,2.017
Buenos Aires,y2080_ssp585,3,26.715,2.038
Buenos Aires,y2080_ssp585,4,21.921,1.879
Buenos Aires,y2080_ssp585,5,16.973,1.671
Buenos Aires,y2080_ssp585,6,13.801,1.597
Buenos Aires,y2080_ssp585,7,13.248,1.637
Buenos Aires,y2080_ssp585,8,14.933,1.86
Buenos Aires,y2080_ssp585,9,17.965,2.155
Buenos Aires,y2080_ssp585,10,21.209,2.1
Buenos Aires,y2080_ssp585,11,24.644,2.286
Buenos Aires,y2080_ssp585,12,27.789,2.172
Cairo,y2080_ssp585,1,17.034,1.736
Cairo,y2080_ssp585,2,17.763,1.911
Cairo,y2080_ssp585,3,20.515,2.265
Cairo,y2080_ssp585,4,23.916,2.317
Cairo,y2080_ssp585,5,27.873,2.677
Cairo,y2080_ssp585,6,32.347,3.019
Cairo,y2080_ssp585,7,35.123,3.201
Cairo,y2080_ssp585,8,35.314,2.954
Cairo,y2080_ssp585,9,32.108,2.524
Cairo,y2080_ssp585,10,28.024,2.022
Cairo,y2080_ssp585,11,23.103,1.927
Cairo,y2080_ssp585,12,18.846,1.71
Cape Town,y2080_ssp585,1,24.344,1.248
Cape Town,y2080_ssp585,2,24.7,1.174
Cape Town,y2080_ssp585,3,23.831,1.198
Cape Town,y2080_ssp585,4,21.992,1.146
Cape Town,y2080_ssp585,5,19.665,1.329
Cape Town,y2080_ssp585,6,17.832,1.335
Cape Town,y2080_ssp585,7,16.971,1.334
Cape Town,y2080_ssp585,8,17.0,1.397
Cape Town,y2080_ssp585,9,17.848,1.415
Cape Town,y2080_ssp585,10,19.599,1.289
Cape Town,y2080_ssp585,11,21.525,1.261
Cape Town,y2080_ssp585,12,23.174,1.25
Chicago,y2080_ssp585,1,0.622,2.976
Chicago,y2080_ssp585,2,2.484,3.337
Chicago,y2080_ssp585,3,6.953,2.784
Chicago,y2080_ssp585,4,13.906,2.893
Chicago,y2080_ssp585,5,20.998,2.912
Chicago,y2080_ssp585,6,27.2,2.836
Chicago,y2080_ssp585,7,31.102,3.225
Chicago,y2080_ssp585,8,31.177,3.618
Chicago,y2080_ssp585,9,26.558,3.695
Chicago,y2080_ssp585,10,18.53,3.479
Chicago,y2080_ssp585,11,9.926,3.167
Chicago,y2080_ssp585,12,3.754,2.847
Delhi,y2080_ssp585,1,17.683,3.444
Delhi,y2080_ssp585,2,20.638,3.751
Delhi,y2080_ssp585,3,26.437,3.959
Delhi,y2080_ssp585,4,32.246,3.777
Delhi,y2080_ssp585,5,36.997,3.473
Delhi,y2080_ssp585,6,40.03,3.458
Delhi,y2080_ssp585,7,38.084,3.48
Delhi,y2080_ssp585,8,35.567,3.447
Delhi,y2080_ssp585,9,34.776,3.69
Delhi,y2080_ssp585,10,30.688,3.345
Delhi,y2080_ssp585,11,23.72,3.199
Delhi,y2080_ssp585,12,18.694,3.396
Dubai,y2080_ssp585,1,23.124,2.52
Dubai,y2080_ssp585,2,23.849,2.977
Dubai,y2080_ssp585,3,27.143,3.296
Dubai,y2080_ssp585,4,31.325,3.671
Dubai,y2080_ssp585,5,36.066,4.688
Dubai,y2080_ssp585,6,40.1,5.439
Dubai,y2080_ssp585,7,41.263,5.122
