city,lat,lon,scenario,year,tas_mean_C,tas_p10_C,tas_p90_C,pr_mean_mmday,n_models
Anchorage,61.22,-149.9,historical,1850,-2.266,-3.956,-0.226,3.731,8.0
Anchorage,61.22,-149.9,historical,1851,-2.395,-5.466,1.697,3.958,8.0
Anchorage,61.22,-149.9,historical,1852,-1.992,-3.837,0.494,3.962,8.0
Anchorage,61.22,-149.9,historical,1853,-0.859,-1.633,0.069,4.212,8.0
Anchorage,61.22,-149.9,historical,1854,-1.88,-3.034,-0.549,4.167,8.0
Anchorage,61.22,-149.9,historical,1855,-2.039,-3.595,-0.527,4.022,8.0
Anchorage,61.22,-149.9,historical,1856,-1.639,-3.536,1.538,3.905,8.0
Anchorage,61.22,-149.9,historical,1857,-2.1,-4.574,1.391,4.031,8.0
Anchorage,61.22,-149.9,historical,1858,-0.998,-3.514,2.36,4.349,8.0
Anchorage,61.22,-149.9,historical,1859,-1.124,-5.076,2.426,4.213,8.0
Anchorage,61.22,-149.9,historical,1860,-1.829,-4.269,-0.382,3.889,8.0
Anchorage,61.22,-149.9,historical,1861,-1.677,-5.082,1.814,4.269,8.0
Anchorage,61.22,-149.9,historical,1862,-1.929,-4.547,0.282,3.937,8.0
Anchorage,61.22,-149.9,historical,1863,-1.778,-4.519,1.186,3.966,8.0
Anchorage,61.22,-149.9,historical,1864,-2.25,-4.719,0.034,4.055,8.0
Anchorage,61.22,-149.9,historical,1865,-1.274,-3.656,2.009,3.855,8.0
Anchorage,61.22,-149.9,historical,1866,-1.579,-3.679,0.6,3.884,8.0
Anchorage,61.22,-149.9,historical,1867,-2.097,-4.005,-0.565,3.835,8.0
Anchorage,61.22,-149.9,historical,1868,-1.62,-3.985,0.808,4.222,8.0
Anchorage,61.22,-149.9,historical,1869,-1.015,-4.386,1.946,4.01,8.0
Anchorage,61.22,-149.9,historical,1870,-1.856,-5.65,1.856,4.072,8.0
Anchorage,61.22,-149.9,historical,1871,-1.959,-3.761,1.582,3.741,8.0
Anchorage,61.22,-149.9,historical,1872,-1.511,-4.552,0.729,3.98,8.0
Anchorage,61.22,-149.9,historical,1873,-0.676,-3.43,2.088,4.252,8.0
Anchorage,61.22,-149.9,historical,1874,-1.293,-3.641,1.234,4.054,8.0
Anchorage,61.22,-149.9,historical,1875,-1.663,-3.742,0.289,4.141,8.0
Anchorage,61.22,-149.9,historical,1876,-0.968,-2.8,0.32,4.088,8.0
Anchorage,61.22,-149.9,historical,1877,-1.902,-3.598,0.186,4.132,8.0
Anchorage,61.22,-149.9,historical,1878,-2.325,-3.979,-0.502,3.846,8.0
Anchorage,61.22,-149.9,historical,1879,-1.357,-3.433,1.237,3.829,8.0
Anchorage,61.22,-149.9,historical,1880,-1.721,-4.611,1.665,3.743,8.0
Anchorage,61.22,-149.9,historical,1881,-0.889,-4.579,1.963,4.193,8.0
Anchorage,61.22,-149.9,historical,1882,-1.939,-4.629,1.031,4.272,8.0
Anchorage,61.22,-149.9,historical,1883,-2.412,-4.012,-0.887,3.872,8.0
Anchorage,61.22,-149.9,historical,1884,-1.896,-3.844,0.634,4.036,8.0
Anchorage,61.22,-149.9,historical,1885,-2.178,-5.659,0.616,3.611,8.0
Anchorage,61.22,-149.9,historical,1886,-2.791,-5.627,-0.138,3.834,8.0
Anchorage,61.22,-149.9,historical,1887,-2.188,-5.175,0.549,3.948,8.0
Anchorage,61.22,-149.9,historical,1888,-2.926,-4.918,-1.74,3.824,8.0
Anchorage,61.22,-149.9,historical,1889,-2.19,-3.833,-0.405,3.669,8.0
Anchorage,61.22,-149.9,historical,1890,-2.248,-4.225,0.216,3.946,8.0
Anchorage,61.22,-149.9,historical,1891,-1.974,-4.276,1.104,3.957,8.0
Anchorage,61.22,-149.9,historical,1892,-1.298,-3.165,0.764,3.987,8.0
Anchorage,61.22,-149.9,historical,1893,-1.269,-3.78,2.392,4.169,8.0
Anchorage,61.22,-149.9,historical,1894,-1.012,-3.622,1.759,4.222,8.0
Anchorage,61.22,-149.9,historical,1895,-1.993,-3.273,0.176,3.657,8.0
Anchorage,61.22,-149.9,historical,1896,-1.942,-4.262,1.326,3.71,8.0
Anchorage,61.22,-149.9,historical,1897,-0.843,-2.405,1.582,4.164,8.0
Anchorage,61.22,-149.9,historical,1898,-2.493,-3.938,-1.348,3.809,8.0
Anchorage,61.22,-149.9,historical,1899,-1.763,-3.379,-0.351,3.952,8.0
Anchorage,61.22,-149.9,historical,1900,-1.316,-3.468,0.623,4.044,8.0
Anchorage,61.22,-149.9,historical,1901,-1.659,-3.272,0.76,4.172,8.0
Anchorage,61.22,-149.9,historical,1902,-2.117,-4.184,-0.572,3.952,8.0
Anchorage,61.22,-149.9,historical,1903,-2.162,-3.879,-0.503,4.004,8.0
Anchorage,61.22,-149.9,historical,1904,-1.064,-2.631,1.13,4.053,8.0
Anchorage,61.22,-149.9,historical,1905,-1.723,-4.025,0.748,3.924,8.0
Anchorage,61.22,-149.9,historical,1906,-1.405,-4.086,1.93,4.233,8.0
Anchorage,61.22,-149.9,historical,1907,-2.085,-4.07,-0.189,4.066,8.0
Anchorage,61.22,-149.9,historical,1908,-2.053,-5.917,0.598,4.308,8.0
Anchorage,61.22,-149.9,historical,1909,-1.757,-4.376,1.19,4.06,8.0
Anchorage,61.22,-149.9,historical,1910,-2.042,-4.044,0.15,4.043,8.0
Anchorage,61.22,-149.9,historical,1911,-0.517,-1.593,0.708,4.53,8.0
Anchorage,61.22,-149.9,historical,1912,-1.154,-3.126,1.022,3.905,8.0
Anchorage,61.22,-149.9,historical,1913,-0.661,-2.748,1.782,4.261,8.0
Anchorage,61.22,-149.9,historical,1914,-1.667,-3.466,0.699,3.916,8.0
Anchorage,61.22,-149.9,historical,1915,-2.064,-3.775,0.139,4.236,8.0
Anchorage,61.22,-149.9,historical,1916,-1.756,-4.366,1.057,4.02,8.0
Anchorage,61.22,-149.9,historical,1917,-2.287,-4.129,-0.113,3.769,8.0
Anchorage,61.22,-149.9,historical,1918,-1.946,-3.553,-0.206,4.051,8.0
Anchorage,61.22,-149.9,historical,1919,-1.313,-3.597,1.053,3.982,8.0
Anchorage,61.22,-149.9,historical,1920,-1.503,-3.57,0.699,3.872,8.0
Anchorage,61.22,-149.9,historical,1921,-1.405,-4.431,1.238,3.993,8.0
Anchorage,61.22,-149.9,historical,1922,-1.142,-4.125,1.587,3.93,8.0
Anchorage,61.22,-149.9,historical,1923,-1.277,-2.928,0.733,4.052,8.0
Anchorage,61.22,-149.9,historical,1924,-1.368,-3.623,0.707,4.023,8.0
Anchorage,61.22,-149.9,historical,1925,-1.482,-3.733,0.854,4.056,8.0
Anchorage,61.22,-149.9,historical,1926,-1.032,-3.094,2.127,3.906,8.0
Anchorage,61.22,-149.9,historical,1927,-1.663,-4.525,1.593,3.953,8.0
Anchorage,61.22,-149.9,historical,1928,-0.942,-3.97,2.269,4.198,8.0
Anchorage,61.22,-149.9,historical,1929,-0.935,-3.036,2.385,4.347,8.0
Anchorage,61.22,-149.9,historical,1930,-2.265,-4.763,-0.287,3.913,8.0
Anchorage,61.22,-149.9,historical,1931,-2.702,-4.439,-1.586,4.0,8.0
Anchorage,61.22,-149.9,historical,1932,-1.492,-4.095,2.37,4.368,8.0
Anchorage,61.22,-149.9,historical,1933,-2.148,-3.814,-0.497,3.735,8.0
Anchorage,61.22,-149.9,historical,1934,-1.245,-3.017,1.074,4.253,8.0
Anchorage,61.22,-149.9,historical,1935,-1.761,-4.142,0.2,3.964,8.0
Anchorage,61.22,-149.9,historical,1936,-1.62,-4.189,-0.022,4.05,8.0
Anchorage,61.22,-149.9,historical,1937,-1.777,-4.803,-0.225,4.201,8.0
Anchorage,61.22,-149.9,historical,1938,-1.771,-2.973,-0.264,3.777,8.0
Anchorage,61.22,-149.9,historical,1939,-1.233,-3.231,1.118,3.909,8.0
Anchorage,61.22,-149.9,historical,1940,-0.965,-3.103,0.743,4.306,8.0
Anchorage,61.22,-149.9,historical,1941,-1.852,-4.412,0.245,3.866,8.0
Anchorage,61.22,-149.9,historical,1942,-1.83,-3.773,1.811,3.915,8.0
Anchorage,61.22,-149.9,historical,1943,-1.12,-3.245,1.796,3.954,8.0
Anchorage,61.22,-149.9,historical,1944,-1.034,-3.817,1.388,4.187,8.0
Anchorage,61.22,-149.9,historical,1945,-1.294,-4.515,0.147,4.306,8.0
Anchorage,61.22,-149.9,historical,1946,-1.098,-3.276,0.665,4.426,8.0
Anchorage,61.22,-149.9,historical,1947,-0.208,-1.076,1.293,4.385,8.0
Anchorage,61.22,-149.9,historical,1948,-0.919,-2.474,1.092,3.822,8.0
Anchorage,61.22,-149.9,historical,1949,-1.346,-3.546,0.995,3.862,8.0
Anchorage,61.22,-149.9,historical,1950,-1.03,-3.299,1.241,3.88,8.0
Anchorage,61.22,-149.9,historical,1951,-1.299,-3.647,0.673,3.968,8.0
Anchorage,61.22,-149.9,historical,1952,-1.864,-3.978,0.382,4.018,8.0
Anchorage,61.22,-149.9,historical,1953,-0.848,-2.183,0.667,4.131,8.0
Anchorage,61.22,-149.9,historical,1954,-1.203,-3.394,0.833,4.055,8.0
Anchorage,61.22,-149.9,historical,1955,-1.705,-3.463,-0.228,3.756,8.0
Anchorage,61.22,-149.9,historical,1956,-1.46,-4.608,2.451,3.884,8.0
Anchorage,61.22,-149.9,historical,1957,-1.733,-3.965,1.711,4.068,8.0
Anchorage,61.22,-149.9,historical,1958,-1.393,-2.541,-0.019,4.107,8.0
Anchorage,61.22,-149.9,historical,1959,-1.684,-4.433,1.342,3.996,8.0
Anchorage,61.22,-149.9,historical,1960,-0.445,-2.78,2.733,4.195,8.0
Anchorage,61.22,-149.9,historical,1961,-0.986,-3.554,2.538,4.074,8.0
Anchorage,61.22,-149.9,historical,1962,-0.895,-4.434,1.895,4.233,8.0
Anchorage,61.22,-149.9,historical,1963,-1.205,-3.819,1.039,4.133,8.0
Anchorage,61.22,-149.9,historical,1964,-1.472,-5.013,0.989,4.058,8.0
Anchorage,61.22,-149.9,historical,1965,-2.259,-3.997,-0.787,4.067,8.0
Anchorage,61.22,-149.9,historical,1966,-0.794,-2.689,1.031,3.936,8.0
Anchorage,61.22,-149.9,historical,1967,-1.514,-3.303,0.738,4.222,8.0
Anchorage,61.22,-149.9,historical,1968,-1.477,-3.262,0.831,4.015,8.0
Anchorage,61.22,-149.9,historical,1969,-1.882,-5.103,0.847,4.09,8.0
Anchorage,61.22,-149.9,historical,1970,-1.662,-4.424,0.494,4.26,8.0
Anchorage,61.22,-149.9,historical,1971,-1.973,-3.717,-0.104,3.954,8.0
Anchorage,61.22,-149.9,historical,1972,-1.24,-2.685,0.378,4.378,8.0
Anchorage,61.22,-149.9,historical,1973,-1.28,-2.951,0.919,3.93,8.0
Anchorage,61.22,-149.9,historical,1974,-1.253,-3.751,1.279,3.845,8.0
Anchorage,61.22,-149.9,historical,1975,-1.486,-3.847,1.184,3.916,8.0
Anchorage,61.22,-149.9,historical,1976,-2.466,-4.778,-0.451,3.764,8.0
Anchorage,61.22,-149.9,historical,1977,-1.575,-3.917,1.605,3.903,8.0
Anchorage,61.22,-149.9,historical,1978,-1.212,-3.721,1.224,3.86,8.0
Anchorage,61.22,-149.9,historical,1979,-1.698,-3.449,0.638,4.033,8.0
Anchorage,61.22,-149.9,historical,1980,-2.232,-4.156,-0.204,3.828,8.0
Anchorage,61.22,-149.9,historical,1981,-0.766,-1.795,0.655,4.223,8.0
Anchorage,61.22,-149.9,historical,1982,-0.821,-3.543,0.551,4.456,8.0
Anchorage,61.22,-149.9,historical,1983,-0.962,-3.273,1.403,4.127,8.0
Anchorage,61.22,-149.9,historical,1984,-1.024,-3.074,1.58,3.757,8.0
Anchorage,61.22,-149.9,historical,1985,-0.895,-3.015,2.215,3.935,8.0
Anchorage,61.22,-149.9,historical,1986,-0.952,-2.421,0.824,3.865,8.0
Anchorage,61.22,-149.9,historical,1987,-1.855,-4.124,0.075,4.249,8.0
Anchorage,61.22,-149.9,historical,1988,-1.397,-2.819,0.458,4.08,8.0
Anchorage,61.22,-149.9,historical,1989,-0.876,-4.048,2.113,4.143,8.0
Anchorage,61.22,-149.9,historical,1990,-0.977,-3.41,2.156,4.184,8.0
Anchorage,61.22,-149.9,historical,1991,-1.268,-2.994,0.233,3.921,8.0
Anchorage,61.22,-149.9,historical,1992,-0.978,-2.473,0.591,4.461,8.0
Anchorage,61.22,-149.9,historical,1993,-1.485,-3.616,0.185,4.118,8.0
Anchorage,61.22,-149.9,historical,1994,-0.886,-2.156,0.465,4.233,8.0
Anchorage,61.22,-149.9,historical,1995,-1.371,-3.471,0.602,4.085,8.0
Anchorage,61.22,-149.9,historical,1996,-0.2,-2.571,1.834,4.278,8.0
Anchorage,61.22,-149.9,historical,1997,-0.209,-2.432,2.839,4.403,8.0
Anchorage,61.22,-149.9,historical,1998,-0.364,-2.594,2.921,4.269,8.0
Anchorage,61.22,-149.9,historical,1999,-0.781,-2.171,0.218,4.08,8.0
Anchorage,61.22,-149.9,historical,2000,-0.545,-2.055,1.239,4.283,8.0
Anchorage,61.22,-149.9,historical,2001,-0.459,-4.495,2.738,3.792,8.0
Anchorage,61.22,-149.9,historical,2002,0.546,-2.239,4.045,4.476,8.0
Anchorage,61.22,-149.9,historical,2003,0.271,-1.413,2.237,4.145,8.0
Anchorage,61.22,-149.9,historical,2004,-0.52,-1.882,0.865,4.28,8.0
Anchorage,61.22,-149.9,historical,2005,-0.475,-2.47,1.469,4.213,8.0
Anchorage,61.22,-149.9,historical,2006,-0.474,-3.197,2.24,4.283,8.0
Anchorage,61.22,-149.9,historical,2007,0.088,-2.322,2.778,4.211,8.0
Anchorage,61.22,-149.9,historical,2008,-0.096,-1.868,3.305,4.348,8.0
Anchorage,61.22,-149.9,historical,2009,-0.357,-2.41,2.517,4.342,8.0
Anchorage,61.22,-149.9,historical,2010,-1.073,-2.779,1.55,3.94,8.0
Anchorage,61.22,-149.9,historical,2011,-0.779,-2.357,0.581,4.276,8.0
Anchorage,61.22,-149.9,historical,2012,-0.736,-2.788,1.817,4.139,8.0
Anchorage,61.22,-149.9,historical,2013,-0.324,-2.606,1.367,4.168,8.0
Anchorage,61.22,-149.9,historical,2014,-0.014,-2.661,1.898,4.441,8.0
Anchorage,61.22,-149.9,ssp126,2015,-1.023,-3.06,1.127,4.276,8.0
Anchorage,61.22,-149.9,ssp126,2016,-0.396,-2.577,1.82,4.124,8.0
Anchorage,61.22,-149.9,ssp126,2017,0.017,-1.782,2.333,4.403,8.0
Anchorage,61.22,-149.9,ssp126,2018,-0.064,-3.454,3.075,4.132,8.0
Anchorage,61.22,-149.9,ssp126,2019,0.637,-1.588,3.099,4.12,8.0
Anchorage,61.22,-149.9,ssp126,2020,0.176,-1.471,2.209,4.77,8.0
Anchorage,61.22,-149.9,ssp126,2021,0.626,-0.426,1.426,4.159,8.0
Anchorage,61.22,-149.9,ssp126,2022,0.255,-2.109,2.067,4.533,8.0
Anchorage,61.22,-149.9,ssp126,2023,-0.254,-2.821,2.038,4.253,8.0
Anchorage,61.22,-149.9,ssp126,2024,0.005,-3.441,2.515,4.278,8.0
Anchorage,61.22,-149.9,ssp126,2025,1.032,-1.754,4.149,4.241,8.0
Anchorage,61.22,-149.9,ssp126,2026,0.261,-1.134,1.956,3.969,8.0
Anchorage,61.22,-149.9,ssp126,2027,1.041,-1.167,2.696,4.254,8.0
Anchorage,61.22,-149.9,ssp126,2028,0.96,-1.405,4.41,4.406,8.0
Anchorage,61.22,-149.9,ssp126,2029,1.488,-0.352,3.702,4.681,8.0
Anchorage,61.22,-149.9,ssp126,2030,1.588,0.539,2.683,4.453,8.0
Anchorage,61.22,-149.9,ssp126,2031,0.367,-0.71,1.899,4.242,8.0
Anchorage,61.22,-149.9,ssp126,2032,-0.059,-2.443,2.201,4.394,8.0
Anchorage,61.22,-149.9,ssp126,2033,0.313,-2.216,2.93,4.071,8.0
Anchorage,61.22,-149.9,ssp126,2034,0.404,-2.451,3.336,4.479,8.0
Anchorage,61.22,-149.9,ssp126,2035,0.998,-1.467,4.069,4.39,8.0
Anchorage,61.22,-149.9,ssp126,2036,1.5,-0.699,3.474,4.429,8.0
Anchorage,61.22,-149.9,ssp126,2037,1.188,-0.452,2.857,4.226,8.0
Anchorage,61.22,-149.9,ssp126,2038,0.487,-1.197,1.792,4.074,8.0
Anchorage,61.22,-149.9,ssp126,2039,1.284,-0.497,3.001,4.611,8.0
Anchorage,61.22,-149.9,ssp126,2040,1.392,-1.378,4.046,4.383,8.0
Anchorage,61.22,-149.9,ssp126,2041,1.257,0.009,2.535,4.33,8.0
Anchorage,61.22,-149.9,ssp126,2042,1.065,-0.635,3.08,4.433,8.0
Anchorage,61.22,-149.9,ssp126,2043,1.406,-1.215,3.846,4.438,8.0
Anchorage,61.22,-149.9,ssp126,2044,0.546,-2.406,2.959,4.125,8.0
Anchorage,61.22,-149.9,ssp126,2045,1.072,-0.981,2.503,4.493,8.0
Anchorage,61.22,-149.9,ssp126,2046,1.588,-1.071,3.889,4.558,8.0
Anchorage,61.22,-149.9,ssp126,2047,1.826,-1.331,4.006,4.812,8.0
Anchorage,61.22,-149.9,ssp126,2048,0.847,-2.557,3.422,4.339,8.0
Anchorage,61.22,-149.9,ssp126,2049,1.383,-1.398,5.311,4.621,8.0
Anchorage,61.22,-149.9,ssp126,2050,0.946,-1.431,3.002,4.313,8.0
Anchorage,61.22,-149.9,ssp126,2051,1.845,-2.021,4.449,4.568,8.0
Anchorage,61.22,-149.9,ssp126,2052,1.559,-0.561,3.712,4.679,8.0
Anchorage,61.22,-149.9,ssp126,2053,1.955,-0.109,4.229,4.613,8.0
Anchorage,61.22,-149.9,ssp126,2054,1.604,-1.053,3.304,4.511,8.0
Anchorage,61.22,-149.9,ssp126,2055,1.362,-1.018,3.736,4.355,8.0
Anchorage,61.22,-149.9,ssp126,2056,1.536,-0.903,3.073,4.694,8.0
Anchorage,61.22,-149.9,ssp126,2057,1.299,-0.9,2.848,4.577,8.0
Anchorage,61.22,-149.9,ssp126,2058,1.262,-0.54,3.8,4.443,8.0
Anchorage,61.22,-149.9,ssp126,2059,1.678,-1.297,4.205,4.669,8.0
Anchorage,61.22,-149.9,ssp126,2060,1.53,-2.01,3.985,4.889,8.0
Anchorage,61.22,-149.9,ssp126,2061,2.256,0.293,4.142,4.957,8.0
Anchorage,61.22,-149.9,ssp126,2062,1.635,-1.125,3.757,4.837,8.0
Anchorage,61.22,-149.9,ssp126,2063,1.41,-0.532,2.687,4.581,8.0
Anchorage,61.22,-149.9,ssp126,2064,1.853,-0.708,4.06,4.523,8.0
Anchorage,61.22,-149.9,ssp126,2065,1.872,-1.569,4.545,4.687,8.0
Anchorage,61.22,-149.9,ssp126,2066,1.721,-0.879,4.657,4.832,8.0
Anchorage,61.22,-149.9,ssp126,2067,1.87,0.16,3.735,4.809,8.0
Anchorage,61.22,-149.9,ssp126,2068,1.733,-1.282,4.512,4.835,8.0
Anchorage,61.22,-149.9,ssp126,2069,2.073,-0.555,5.253,4.415,8.0
Anchorage,61.22,-149.9,ssp126,2070,1.887,-2.08,4.382,4.766,8.0
Anchorage,61.22,-149.9,ssp126,2071,1.075,-1.269,2.734,4.77,8.0
Anchorage,61.22,-149.9,ssp126,2072,1.712,-0.937,4.033,4.683,8.0
Anchorage,61.22,-149.9,ssp126,2073,1.844,-2.374,4.245,4.857,8.0
Anchorage,61.22,-149.9,ssp126,2074,2.364,-0.796,4.664,4.964,8.0
Anchorage,61.22,-149.9,ssp126,2075,2.413,-0.766,4.734,4.977,8.0
Anchorage,61.22,-149.9,ssp126,2076,1.102,-3.697,5.338,4.325,8.0
Anchorage,61.22,-149.9,ssp126,2077,1.879,-2.398,4.519,4.476,8.0
Anchorage,61.22,-149.9,ssp126,2078,1.989,-1.16,4.984,4.583,8.0
Anchorage,61.22,-149.9,ssp126,2079,1.551,-0.677,3.699,4.778,8.0
Anchorage,61.22,-149.9,ssp126,2080,1.817,-0.132,4.275,4.622,8.0
Anchorage,61.22,-149.9,ssp126,2081,2.327,-0.525,5.227,4.719,8.0
Anchorage,61.22,-149.9,ssp126,2082,1.752,-0.186,3.619,4.4,8.0
Anchorage,61.22,-149.9,ssp126,2083,0.987,-1.287,3.829,4.22,8.0
Anchorage,61.22,-149.9,ssp126,2084,0.606,-2.272,3.123,4.464,8.0
Anchorage,61.22,-149.9,ssp126,2085,1.773,-1.353,5.73,4.643,8.0
Anchorage,61.22,-149.9,ssp126,2086,2.168,-0.499,4.659,4.639,8.0
Anchorage,61.22,-149.9,ssp126,2087,1.865,-1.766,4.232,4.616,8.0
Anchorage,61.22,-149.9,ssp126,2088,1.425,-0.631,3.783,4.71,8.0
Anchorage,61.22,-149.9,ssp126,2089,2.019,-1.662,4.476,5.163,8.0
Anchorage,61.22,-149.9,ssp126,2090,1.44,-0.667,4.384,4.464,8.0
Anchorage,61.22,-149.9,ssp126,2091,1.942,-1.602,4.375,4.786,8.0
Anchorage,61.22,-149.9,ssp126,2092,1.72,-1.381,4.535,4.647,8.0
Anchorage,61.22,-149.9,ssp126,2093,1.994,-0.866,4.149,4.729,8.0
Anchorage,61.22,-149.9,ssp126,2094,1.62,-1.38,4.217,4.797,8.0
Anchorage,61.22,-149.9,ssp126,2095,2.153,-1.186,4.475,5.097,8.0
Anchorage,61.22,-149.9,ssp126,2096,1.827,-1.069,3.908,4.675,8.0
Anchorage,61.22,-149.9,ssp126,2097,1.702,0.148,3.354,4.473,8.0
Anchorage,61.22,-149.9,ssp126,2098,1.561,-1.707,3.684,4.398,8.0
Anchorage,61.22,-149.9,ssp126,2099,1.824,0.338,3.944,4.946,8.0
Anchorage,61.22,-149.9,ssp126,2100,2.254,-0.237,5.067,4.79,8.0
Anchorage,61.22,-149.9,ssp245,2015,-0.336,-2.47,2.059,4.347,8.0
Anchorage,61.22,-149.9,ssp245,2016,-0.329,-1.703,0.686,4.087,8.0
Anchorage,61.22,-149.9,ssp245,2017,0.085,-1.337,1.436,4.366,8.0
Anchorage,61.22,-149.9,ssp245,2018,0.316,-1.912,2.783,4.005,8.0
Anchorage,61.22,-149.9,ssp245,2019,-0.053,-1.912,2.403,4.088,8.0
Anchorage,61.22,-149.9,ssp245,2020,-0.202,-3.424,2.195,4.46,8.0
Anchorage,61.22,-149.9,ssp245,2021,-0.162,-2.082,2.388,4.296,8.0
Anchorage,61.22,-149.9,ssp245,2022,-0.444,-2.604,0.644,4.13,8.0
Anchorage,61.22,-149.9,ssp245,2023,-0.025,-2.444,2.364,4.344,8.0
Anchorage,61.22,-149.9,ssp245,2024,0.302,-2.66,3.364,4.362,8.0
Anchorage,61.22,-149.9,ssp245,2025,0.702,-1.617,2.691,4.263,8.0
Anchorage,61.22,-149.9,ssp245,2026,0.606,-1.688,2.581,4.558,8.0
Anchorage,61.22,-149.9,ssp245,2027,0.582,-1.585,2.797,4.259,8.0
Anchorage,61.22,-149.9,ssp245,2028,1.246,-0.563,3.984,4.255,8.0
Anchorage,61.22,-149.9,ssp245,2029,0.472,-2.004,2.309,4.574,8.0
Anchorage,61.22,-149.9,ssp245,2030,0.725,-0.892,2.687,4.63,8.0
Anchorage,61.22,-149.9,ssp245,2031,0.607,-1.511,2.664,4.489,8.0
Anchorage,61.22,-149.9,ssp245,2032,0.676,-1.059,3.419,3.977,8.0
Anchorage,61.22,-149.9,ssp245,2033,0.947,-1.198,3.041,4.721,8.0
Anchorage,61.22,-149.9,ssp245,2034,1.35,-0.72,3.028,4.418,8.0
Anchorage,61.22,-149.9,ssp245,2035,0.76,-1.03,3.281,4.656,8.0
Anchorage,61.22,-149.9,ssp245,2036,0.643,-1.293,2.851,4.47,8.0
Anchorage,61.22,-149.9,ssp245,2037,1.03,-0.504,3.701,4.375,8.0
Anchorage,61.22,-149.9,ssp245,2038,1.846,-0.296,4.155,4.666,8.0
Anchorage,61.22,-149.9,ssp245,2039,1.469,-0.765,3.6,4.399,8.0
Anchorage,61.22,-149.9,ssp245,2040,0.461,-1.382,1.959,4.477,7.0
Anchorage,61.22,-149.9,ssp245,2041,0.964,-1.349,2.772,4.827,7.0
Anchorage,61.22,-149.9,ssp245,2042,1.09,-1.464,3.2,4.486,7.0
Anchorage,61.22,-149.9,ssp245,2043,1.438,-1.088,3.622,4.946,7.0
Anchorage,61.22,-149.9,ssp245,2044,1.939,-0.614,5.21,4.993,7.0
Anchorage,61.22,-149.9,ssp245,2045,1.765,-0.649,3.501,5.034,7.0
Anchorage,61.22,-149.9,ssp245,2046,1.169,-1.442,2.806,4.517,7.0
Anchorage,61.22,-149.9,ssp245,2047,1.524,-0.467,3.303,4.817,7.0
Anchorage,61.22,-149.9,ssp245,2048,1.285,-1.254,2.828,4.75,7.0
Anchorage,61.22,-149.9,ssp245,2049,0.936,-1.167,2.554,4.62,7.0
Anchorage,61.22,-149.9,ssp245,2050,0.919,-1.545,3.194,4.569,7.0
Anchorage,61.22,-149.9,ssp245,2051,1.353,-0.423,3.919,4.582,7.0
Anchorage,61.22,-149.9,ssp245,2052,1.664,-0.921,3.576,4.662,7.0
Anchorage,61.22,-149.9,ssp245,2053,2.088,0.273,4.05,4.862,7.0
Anchorage,61.22,-149.9,ssp245,2054,1.341,-0.527,3.566,4.508,7.0
Anchorage,61.22,-149.9,ssp245,2055,1.732,-0.568,3.851,4.86,7.0
Anchorage,61.22,-149.9,ssp245,2056,1.924,-0.882,4.175,4.736,7.0
Anchorage,61.22,-149.9,ssp245,2057,1.885,-1.37,4.669,4.473,7.0
Anchorage,61.22,-149.9,ssp245,2058,2.593,0.321,4.125,5.343,7.0
Anchorage,61.22,-149.9,ssp245,2059,1.385,-2.109,3.662,4.689,7.0
Anchorage,61.22,-149.9,ssp245,2060,1.506,-0.607,3.452,4.878,7.0
Anchorage,61.22,-149.9,ssp245,2061,2.054,0.634,3.073,4.589,7.0
Anchorage,61.22,-149.9,ssp245,2062,2.625,-0.424,4.866,5.064,7.0
Anchorage,61.22,-149.9,ssp245,2063,1.846,-0.36,3.649,4.859,7.0
Anchorage,61.22,-149.9,ssp245,2064,2.097,-0.074,4.332,4.809,7.0
Anchorage,61.22,-149.9,ssp245,2065,2.881,0.602,4.639,5.136,7.0
Anchorage,61.22,-149.9,ssp245,2066,2.354,0.389,4.147,4.915,7.0
Anchorage,61.22,-149.9,ssp245,2067,2.596,-0.597,4.731,5.144,7.0
Anchorage,61.22,-149.9,ssp245,2068,2.395,-0.049,4.47,4.559,7.0
Anchorage,61.22,-149.9,ssp245,2069,2.32,-0.318,4.14,4.975,7.0
Anchorage,61.22,-149.9,ssp245,2070,2.346,-1.163,4.441,4.847,7.0
Anchorage,61.22,-149.9,ssp245,2071,2.489,-0.425,4.877,5.29,7.0
Anchorage,61.22,-149.9,ssp245,2072,2.279,-0.062,3.729,4.898,7.0
Anchorage,61.22,-149.9,ssp245,2073,2.99,-0.845,5.593,5.123,7.0
Anchorage,61.22,-149.9,ssp245,2074,3.12,-1.316,6.096,5.358,7.0
Anchorage,61.22,-149.9,ssp245,2075,2.326,0.324,4.053,4.73,7.0
Anchorage,61.22,-149.9,ssp245,2076,2.381,0.017,3.833,5.162,7.0
Anchorage,61.22,-149.9,ssp245,2077,2.736,-0.734,4.696,4.959,7.0
Anchorage,61.22,-149.9,ssp245,2078,2.773,-1.392,5.525,5.14,7.0
Anchorage,61.22,-149.9,ssp245,2079,3.405,-0.078,6.024,5.47,7.0
Anchorage,61.22,-149.9,ssp245,2080,3.004,-0.195,5.477,5.004,7.0
Anchorage,61.22,-149.9,ssp245,2081,1.834,-1.556,3.808,4.786,7.0
Anchorage,61.22,-149.9,ssp245,2082,2.662,0.103,4.49,5.468,7.0
Anchorage,61.22,-149.9,ssp245,2083,2.635,0.747,3.723,4.768,7.0
